Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_ML-95 [153],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SOUTH(WEST) RIFT ZONE / SHIELD STAGE,18.90,-155.70,"THOLEIITE [153] / BASALT, THOLEIITIC [17258]",13.29,330.00,5.20
s_G86-3 [606],GALAPAGOS ISLANDS / ESPANOLA (HOOD),-1.37,-89.76,BASALT [606],14.46,330.00,10.10
s_660-1A [12578],CANARY ISLANDS / LA PALMA,28.40,-17.86,BASALT [12578],13.18,330.00,14.00
s_SJ30 [696],AZORES / SAO JORGE,38.67,-28.05,"BASALT, ALKALINE [696] / NOT GIVEN [21396]",14.88,330.00,22.00
s_KV03-11 [14499],HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES,21.88,-159.47,"BASALT, ALKALINE [14499]",12.97,330.00,26.10
s_R51-2.4-3.6 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],12.90,331.00,8.10
s_T55 [6967],SAMOAN ISLANDS / MANUA ISLANDS / TAU ISLAND,-14.27,-169.50,BASALT [6967],12.56,331.00,12.00
s_LP124794 [6665],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.64,-18.16,BASANITE [6665] / NOT GIVEN [15508],14.00,331.00,27.00
samp. 121471,VILLINGEDALSFJALL,,,BASALT,15.28,332,1.6
s_J-51 [4868],SELVAGEN ISLANDS / SELVAGEN PEQUENA / PEQUENA,31.00,-16.00,BASANITE [4868],13.51,332.00,12.20
s_S10 [696],AZORES / SAO MIGUEL / AGUA DE PAO,37.80,-25.50,"BASALT, ALKALINE [696] / NOT GIVEN [18632]",14.02,332.00,42.00
s_M29 [15682],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.1961,57.60,NOT GIVEN [15682],14.05,332.90,5.30
s_EH22-76 [252],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT,19.30,-155.33,THOLEIITE [252] / BASALT [212],13.45,333.00,7.00
s_16-NOV-79 [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE,19.37,-155.23,BASALT [22613],13.50,334.00,6.60
s_S1971SW-2 [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SOUTHWEST RIFT ZONE / SHIELD STAGE,19.33,-155.37,BASALT [22613],13.14,334.00,7.90
s_AZG-03-07 [12941] / s_AZG 03-07 [21396],AZORES / GRACIOSA / VITORIA UNIT,39.07,-28.07,BASALT [12941] / NOT GIVEN [21396],15.80,334.00,9.24
s_BY96-91 [5177],KERGUELEN / KERGUELEN ARCHIPELAGO / MONT FONTAINE,-48.85,69.13,BASALT [5177],14.88,334.00,11.20
s_3X [16348],MARQUESAS / HIVA OA / TAAOA / SHIELD STAGE,-9.85,-139.04,"THOLEIITE, OLIVINE [16348]",13.52,335.00,20.00
s_AN11 [1240],CAMEROON LINE / ANNOBON (PAGALU),-1.26,5.37,BASALT [1240],13.20,335.00,33.20
s_T320-R8 [19774],HAWAIIAN ISLANDS / NIIHAU / POST-SHIELD STAGE,21.97,-160.38,NOT GIVEN [19774],13.30,335.00,39.20
s_ARC156 [1006],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT THOMPSON,-48.55,68.50,BASANITE [1006],11.33,335.00,40.80
s_NK64 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140.00,"BASALT, ALKALINE [7516]",13.70,335.00,44.00
s_501 [9565],ICELAND / ICELAND / ILLAHRAUN FLOW,64.86,-19.59,"THOLEIITE, OLIVINE [9565]",15.93,336.00,0.50
s_KK151 [4593],ICELAND / ICELAND / THEISTAREYKIR VOLCANIC FIELD / NORTHERN ICELAND RIFT ZONE,65.77,-16.90,"BASALT [4593] / THOLEIITE, OLIVINE [1105]",14.93,336.00,2.00
s_T1601 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.75,BASALT [1230],14.26,336.00,13.10
s_ASM42 [697] / s_ASM-42 [671],AZORES / SAO MIGUEL / AGUA DE PAO / FOGO A ERUPTION,37.80,-25.50,"BASALT, ALKALINE [697] / BASALT [671]",13.31,336.00,53.90
H69,St. Helena,-15.95,-5.70,Basalt,13.90,336.35,17.00
H125,St. Helena,-15.95,-5.70,Basanite,13.17,336.84,19.00
s_LGV25 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.66,BASALT [1230],12.88,337.00,15.40
samp. 121543,VILLINGEDALSFJALL,,,BASALT,14.36,338,2.7
s_UB-1 [10565],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,19.40,-155.27,NOT GIVEN [10565],13.99,338.00,7.21
s_LP-8 [40],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20.00,-155.25,"BASALT, ALKALINE [40] / NOT GIVEN [15719]",13.20,338.00,8.40
s_EK9-77 [252],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / HILINA BASALT,19.30,-155.33,THOLEIITE [252],13.20,338.00,11.60
s_BY96-92 [5177],KERGUELEN / KERGUELEN ARCHIPELAGO / MONT FONTAINE,-48.85,69.13,BASALT [5177],14.90,338.00,12.20
s_02AHU-12 [14053],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.75,-155.81,BASALT [14053],14.13,338.00,20.50
s_AN7 [1240],CAMEROON LINE / ANNOBON (PAGALU),-1.26,5.37,BASALT [1240],13.95,338.00,32.20
s_P18 [1238],CAMEROON LINE / PRINCIPE,1.62,7.45,"NEPHELINITE, OLIVINE [1238] / NEPHELINITE [1315]",10.88,338.00,38.80
s_SMB-1 [697],AZORES / SAO MIGUEL / AGUA DE PAO,37.80,-25.50,"BASALT, ALKALINE [697]",13.30,338.00,51.10
RTG141,Rarotonga,-21.25,-159.75,,12.67,339.47,36.33
s_9323 [4593],ICELAND / ICELAND / THEISTAREYKIR VOLCANIC FIELD / NORTHERN ICELAND RIFT ZONE / ASBYRGI FLOW,65.92,-17.07,"BASALT [4593] / THOLEIITE, OLIVINE [6174]",16.05,340.00,2.09
s_SN121 [1127],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.81,-15.63,"BASALT, ALKALINE [1127]",15.38,340.00,14.00
s_AZP-03-08 [16224] / s_AZP 03-38 [21396],AZORES / PICO,38.62,-28.37,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",14.67,340.00,23.00
s_RPA-0147260 [815] / s_RPA-14 [6901] / s_RPA14 [15598] / s_RPA 14 [12898],AUSTRAL-COOK ISLANDS / RAPA,-27.58,-144.33,"BASALT, ALKALINE [815] / BASALT [6901]",12.23,340.00,28.00
s_NK76 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140.00,"THOLEIITE, OLIVINE [7516]",13.45,340.00,36.00
s_REU986-115 [7179] / s_986/115(HUDSON) [23527] / s_986-115 [16975],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.75,BASALT [7179] / NOT GIVEN [16975],13.58,340.59,20.83
s_A169-6 [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.40,-155.27,BASALT [22613],13.44,341.00,7.80
s_MA-53 [3348],MADEIRA ARCHIPELAGO / MADEIRA / LATE RIFT PHASE,32.73,-17.05,BASALT [3348],14.25,341.00,20.20
RPA21,Rapa,-27.63,-144.34,,12.87,341.52,23.66
s_07.JUL.01 [12150],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,19.33,-155.11,THOLEIITE [12150],13.19,342.00,6.90
s_HM68-12 [6674],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.40,-155.27,THOLEIITE [6674] / BASALT [22613] / NOT GIVEN [19262],13.07,342.00,9.00
s_408765 [14498],ICELAND / ICELAND,64.82,-23.39,NOT GIVEN [14498],14.39,342.00,17.10
s_116516 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.56,-17.81,BASANITE [8459],12.88,342.00,49.00
s_07DSG72 [20505],"GALAPAGOS ISLANDS / SANTIAGO (JAMES, SAN SALVADOR)",-0.23,-90.61,BASALT [20505],16.59,343.00,1.39
s_R116-6.25-7.2 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.06,343.00,6.50
s_299-20 [19624],HAWAIIAN ISLANDS / KAUAI / SOUTH KAUAI SWELL / SHIELD STAGE,21.39,-159.52,THOLEIITE [19624],13.29,343.00,9.20
s_P253-9 [7555],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / REJUVENATED STAGE,21.18,-157.24,BASALT [7555],14.93,343.00,10.50
s_M-81 [7878],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / INTERMEDIATE SERIES,-20.33,57.50,BASALT [7878],13.38,344.00,21.30
s_110052 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17.00,-25.00,NEPHELINITE [8504],11.46,344.00,55.00
s_H129 [9565],ICELAND / ICELAND / THEISTAREYKIR VOLCANIC FIELD / NORTHERN ICELAND RIFT ZONE,65.77,-16.97,"BASALT, THOLEIITIC [9565]",15.18,345.00,1.50
samp. 121537,VILLINGEDALSFJALL,,,BASALT,15.12,345,1.7
s_R80-2.8-3.5 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.04,345.00,6.30
s_AN19 [1240],CAMEROON LINE / ANNOBON (PAGALU),-1.26,5.37,BASANITE [1240],12.29,345.00,47.60
s_58 [2260],ICELAND / ICELAND / KRAFLA,65.55,-16.78,BASALT [2260],15.25,345.94,1.47
s_C52 [8382],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / YOUNG SERIES,-20.33,57.50,"BASALT, SUBALKALINE [8382] / BASALT, ALKALINE, OLIVINE [1337]",14.55,346.00,5.00
s_M3ACIDWASHED [1199] / s_MG-3 [17353],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,DOLERITE [1199],13.57,346.00,18.10
s_N68-11 [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,19.40,-154.90,BASALT [22613],13.09,347.00,8.70
s_B6-3 [15682],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.038,57.58,NOT GIVEN [15682],14.90,347.20,5.30
s_AN20 [1240],CAMEROON LINE / ANNOBON (PAGALU),-1.26,5.37,BASANITE [1240],12.41,348.00,29.50
s_D22A [21895] / s_D22-A [8351],GALAPAGOS ISLANDS / GENOVESA (TOWER),0.37,-89.86,BASALT [21895],14.92,349.00,0.51
s_08DSG04 [20505],"GALAPAGOS ISLANDS / SANTIAGO (JAMES, SAN SALVADOR)",-0.33,-90.57,BASALT [20505],15.97,349.00,2.04
s_A168 [8382],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / OLDER SERIES / SHIELD STAGE,-20.33,57.50,"BASALT, SUBALKALINE [8382]",13.55,349.00,31.00
ATT138,Aitutaki,-18.93,-159.76,,11.33,349.35,51.54
s_T318-R17 [12504] / s_T318-R17  [19774],HAWAIIAN ISLANDS / NIIHAU / REJUVENATED STAGE / KIEKIE BASALT,22.05,-160.22,BASALT [12504] / NOT GIVEN [19774],15.13,350.00,6.10
s_B-27 [7878],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / INTERMEDIATE SERIES,-20.33,57.50,BASALT [7878],13.47,350.00,9.26
s_731-1 [12578],CANARY ISLANDS / TENERIFE / SHIELD STAGE,28.27,-16.91,BASALT [12578],14.59,350.00,21.00
s_T321-R2 [19774],HAWAIIAN ISLANDS / NIIHAU / POST-SHIELD STAGE,21.94,-160.35,NOT GIVEN [19774],12.93,350.00,39.80
s_S33 P [6967],SAMOAN ISLANDS / SAVAI^I / PUAPUA SERIES,-13.31,-172.74,BASALT [6967],14.25,350.00,44.90
s_JMDD LP 02 [15056],CANARY ISLANDS / LA PALMA / GARAFIA / SHIELD STAGE,27.80,-18.00,ANKARAMITE [15056],12.85,350.46,37.38
s_G34* [778] / s_GKM34 [19648],PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND - KAMAKA,-23.25,-134.25,BASALT [778] / THOLEIITE [19648],14.70,351.00,5.74
s_P15 [1238],CAMEROON LINE / PRINCIPE,1.62,7.45,"THOLEIITE, OLIVINE [1238] / BASALT [1315] / THOLEIITE [1314]",12.45,351.00,13.40
s_440DR-1 [9503],MADEIRA ARCHIPELAGO / MADEIRA,32.24,-16.86,BASALT [9503],14.50,351.00,22.30
s_T318-R11 [12504] / s_T318-R11  [19774],HAWAIIAN ISLANDS / NIIHAU / REJUVENATED STAGE / KIEKIE BASALT,22.05,-160.22,"BASALT [12504] / NOT GIVEN [19774] / BASALT, ALKALINE [7190]",15.31,352.00,9.70
s_RN1258 [947],CANARY ISLANDS / GRAN CANARIA / POST-SHIELD STAGE / ROQUE NUBLO FORMATION,28.00,-15.60,BASANITE [947],12.24,352.00,34.00
s_ES15-20 [24087],GALAPAGOS ISLANDS / ESPANOLA (HOOD),-1.38,-89.63,BASALT [24087],16.62,352.52,6.38
s_UB-17 [10565],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,19.40,-155.27,NOT GIVEN [10565],13.52,353.00,6.01
s_UB-11 [10565],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,19.40,-155.27,NOT GIVEN [10565],13.85,354.00,5.90
s_08.JAN.01 [12150],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,19.33,-155.11,THOLEIITE [12150],13.23,354.00,6.90
s_CHU 13-05 [21069],CAROLINE ISLANDS / CHUUK (TRUK) ISLANDS,5.46,151.87,BASALT [21069],13.60,354.00,13.70
s_ES15-29 [24087],GALAPAGOS ISLANDS / ESPANOLA (HOOD),-1.41,-89.63,BASALT [24087],17.00,354.58,4.52
ATT136,Aitutaki,-18.93,-159.76,,11.17,355.00,46.70
s_GCR-41 [14732],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION,27.92,-15.46,TEPHRITE [14732],11.22,355.15,13.21
s_I2106 [12148],ICELAND / ICELAND,64.92,-15.29,NOT GIVEN [12148],14.03,356.00,1.66
s_R10-4.35-5.7 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.15,356.00,6.90
s_NA73 [726],CAPE VERDE ISLANDS / SAO ANTAO,17.00,-25.00,NEPHELINITE [726],12.26,356.00,30.00
s_P25 [696],AZORES / PICO,38.47,-28.30,"BASALT, ALKALINE [696] / NOT GIVEN [21958]",14.92,356.00,31.00
s_SM0815 [23491],AZORES / SAO MIGUEL,37.82,-25.54,BASALT [23491],13.44,356.30,35.46
s_31 [216] / s_KAH 31 [8517],HAWAIIAN ISLANDS / KAHOOLAWE / SHIELD STAGE,20.50,-156.67,THOLEIITE [216],14.41,357.00,2.90
s_J2-13-13 [9393],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE,19.43,-155.97,THOLEIITE [9393],13.26,357.00,5.00
s_KV04-21 [14499],HAWAIIAN ISLANDS / KAUAI / KAUAI / SHIELD STAGE,21.94,-159.45,THOLEIITE [14499],13.13,358.00,8.70
s_306 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.14,-23.69,BASALT [13086],13.60,358.00,33.00
s_R57-5.0-5.9 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.13,359.00,6.10
s_R8-0.15-0.7 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.17,359.00,6.30
s_69 [481],ST. HELENA CHAIN / ST. HELENA / NORTHEASTERN VOLCANO / SHIELD STAGE,-15.95,-5.70,"BASALT, ALKALINE [481]",14.30,359.00,16.00
s_SAV-B-15 [2662],SAMOAN ISLANDS / SAVAI^I,-13.50,-172.50,BASALT [2662],13.60,359.00,51.00
MGA103,Mangaia,-21.92,-157.92,,13.26,360.06,17.33
s_456737 [13015],ICELAND / ICELAND / BRENNISTEINSFJOLL / SVINAHRAUN FLOW,64.10,-21.40,NOT GIVEN [13015],14.72,361.00,4.00
s_R13-0.1-0.5 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.13,361.00,6.50
s_EK20-77 [252],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / HILINA BASALT,19.30,-155.33,THOLEIITE [252] / BASALT [212],13.59,361.00,8.50
s_G192-2A [10282],GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE),-0.49,-90.26,BASALT [10282] / THOLEIITE [1497],14.99,362.00,4.13
s_76NP-1 [19774],HAWAIIAN ISLANDS / KAUAI / KAUAI / SHIELD STAGE / NAPALI FORMATION,22.15,-159.63,NOT GIVEN [19774],13.35,362.00,7.80
s_ELP7 [6665],CANARY ISLANDS / LA PALMA,28.52,-18.17,BASANITE [6665] / NOT GIVEN [15508],13.20,362.00,36.00
G1,Gough,-40.32,-9.93,Basalt,12.84,362.80,35.00
s_08DSG16 [20505],"GALAPAGOS ISLANDS / SANTIAGO (JAMES, SAN SALVADOR)",-0.34,-90.67,BASALT [20505],15.87,363.00,6.01
s_74WAI-11 [19774],HAWAIIAN ISLANDS / KAUAI / KAUAI / SHIELD STAGE / NAPALI FORMATION,22.17,-159.57,NOT GIVEN [19774],13.19,363.00,8.00
s_M-67 [7878],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / INTERMEDIATE SERIES,-20.33,57.50,BASALT [7878],14.15,363.00,9.69
s_EF7 [6665],CANARY ISLANDS / FUERTEVENTURA / BASALT SERIES IV,28.72,-13.88,"BASALT, ALKALINE [6665] / BASANITE [1211] / NOT GIVEN [15508]",13.09,363.00,19.00
s_SG10 [4868],SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE,30.14,-15.87,"BASANITE [4868] / BASALT, ALKALINE [1211] / NOT GIVEN [15508]",13.27,363.00,19.00
"s_121-758A-65R-1,51-55 [998] / s_121-758A-65R-1,51-55 (F10) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 758,5.384,90.361,BASALT [998],16.71,364,0.4
s_R30-4.25-5.2 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],12.92,364.00,6.50
s_OW-97 [14135],HAWAIIAN ISLANDS / OAHU / WAIANAE / SHIELD STAGE / KAMEILE^UNU MEMBER,21.47,-158.17,"BASALT, THOLEIITIC [14135] / NOT GIVEN [18767]",14.60,364.00,11.00
s_RN1130 [947],CANARY ISLANDS / GRAN CANARIA / POST-SHIELD STAGE / ROQUE NUBLO FORMATION,28.00,-15.60,BASANITE [947],10.55,364.00,19.39
s_304 [13086] / s_121-304 [14545],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.14,-23.69,BASALT [13086],13.49,364.00,25.00
samp. 121538,VILLINGEDALSFJALL,,,BASALT,14.85,365,2.2
s_ML-91 [153],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SOUTH(WEST) RIFT ZONE / SHIELD STAGE,18.90,-155.70,"THOLEIITE [153] / BASALT, THOLEIITIC [17258]",13.51,365.00,5.30
s_UB-23 [10565],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,19.40,-155.27,NOT GIVEN [10565],13.50,365.00,6.70
s_70NII-10 [12504],HAWAIIAN ISLANDS / NIIHAU / REJUVENATED STAGE / KIEKIE BASALT,21.83,-160.18,BASALT [12504],16.38,365.00,7.20
s_TLP 43-1 [19949],CANARY ISLANDS / LA PALMA,28.50,-18.00,BASANITE [19949],12.97,365.00,37.00
s_GCR-38 [14732],CANARY ISLANDS / GRAN CANARIA / POST-ROQUE NUBLO FORMATION / SHIELD STAGE,27.90,-15.50,TEPHRITE [14732],13.46,365.39,65.82
s_R93-1.4-2.0 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],12.96,366.00,6.40
s_FLT09-1 [17910],ICELAND / ICELAND / ASKJA,65.18,-16.51,BASALT [17910],14.98,366.30,3.65
s_FL-09-23 [16341],AZORES / FLORES / UPPER VOLCANIC COMPLEX,39.51,-31.23,"BASALT, ALKALINE [16341] / NOT GIVEN [19965]",15.74,366.84,10.09
s_EF12 [6665],CANARY ISLANDS / FUERTEVENTURA / BASALT SERIES IV,28.73,-13.98,"THOLEIITE, TRANSITIONAL [6665] / THOLEIITE [1211] / BASANITE [15508]",13.50,367.00,7.00
s_RP01 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,BASALT [1230],13.97,367.00,16.90
s_PK91 P10 [16224],AZORES / PICO,38.50,-28.40,"BASALT, ALKALINE [16224]",13.85,367.00,20.40
s_M-370 [4872],MADEIRA ARCHIPELAGO / MADEIRA,32.75,-17.00,NOT GIVEN [4872],14.31,367.00,29.00
s_B34 [8382],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / INTERMEDIATE SERIES,-20.33,57.50,BASANITE [8382] / NEPHELINITE [1337],12.12,367.00,46.00
samp. 121516,FUGLOY,,,BASALT,16.1,367.3,0.6
MCD110,McDonald seamount,,,,13.38,367.40,29.33
s_H34 [9565],ICELAND / ICELAND,64.44,-20.94,"THOLEIITE, OLIVINE [9565]",14.88,369.00,1.40
s_FL-26 [584],"GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES) / FLANK SERIES",-1.24,-90.40,"BASALT, ALKALINE, OLIVINE [584] / BASALT [606]",15.73,369.00,4.14
s_FL-25 [584],"GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES) / FLANK SERIES",-1.24,-90.40,"BASALT, ALKALINE, OLIVINE [584] / BASALT [606]",15.55,369.00,6.75
s_R11-5.3-5.7 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.15,369.00,6.90
s_H24 [9565],ICELAND / ICELAND / EASTERN ICELAND RIFT ZONE,65.11,-16.32,"THOLEIITE, OLIVINE [9565]",14.78,369.00,7.10
s_EH4 [6665],CANARY ISLANDS / EL HIERRO,27.76,-17.91,NOT GIVEN [6665] / BASANITE [1211],12.62,369.00,16.00
s_ALIA-D115-03 [12241] / s_ALIA-115-03 [15770],SAMOAN ISLANDS / SAVAI^I / SHIELD STAGE,-14.09,-172.90,HAWAIITE [12241] / BASALT [15770],12.59,370.00,83.10
s_B6-4 [15682],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.038,57.58,NOT GIVEN [15682],14.95,370.40,3.50
s_88KOL-8 [19774],HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES,22.16,-159.31,NOT GIVEN [19774],12.98,370.88,20.20
s_86KA-8 [19774],HAWAIIAN ISLANDS / KAUAI / KAUAI / SHIELD STAGE / OLOKELE FORMATION,22.13,-159.64,NOT GIVEN [19774],13.84,371.00,6.51
s_HW11-2 [7966],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.31,-155.05,BASALT [7966],13.39,371.00,7.28
s_N44 [216] / s_KAH N44 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.50,-156.67,THOLEIITE [216],13.78,371.00,10.00
s_P3-1 [562],SOCIETY ISLANDS / MEHETIA,-17.92,-148.03,BASALT [562],12.55,371.00,37.20
s_98SM37 [9810],AZORES / SAO MIGUEL,37.80,-25.79,NOT GIVEN [9810],13.30,371.81,28.54
s_LK2 [11395],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.37,-157.81,NOT GIVEN [11395],14.76,372.00,0.33
s_T322-R32 [12504] / s_T322-R32  [19774],HAWAIIAN ISLANDS / NIIHAU / REJUVENATED STAGE / KIEKIE BASALT,22.09,-160.22,"BASALT [12504] / NOT GIVEN [19774] / BASALT, ALKALINE [7190]",14.95,372.00,5.30
s_1832 [6674],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.42,-155.27,THOLEIITE [6674],13.37,372.00,8.10
s_02AHU-13 [14053],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.75,-155.81,BASALT [14053],14.10,372.00,20.20
s_111756 [8504],CAPE VERDE ISLANDS / SAO ANTAO / OLDER VOLCANICS (SAO ANTAO),17.00,-25.00,BASANITE [8504],13.08,372.00,26.00
s_GCR-1 [14732],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION,27.96,-15.56,FOIDITE [14732],9.62,372.86,34.92
s_LL1415 [947],CANARY ISLANDS / GRAN CANARIA / LOS LLANOS FORMATION,28.00,-15.60,NEPHELINITE [947] / MELILITITE [900],9.35,373.00,32.70
s_J2-14-12 [9393],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE,19.46,-155.97,THOLEIITE [9393],13.32,374.00,5.60
s_R16-5.2-6.0 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.12,374.00,6.50
s_21-JUN-00 [12150],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,19.33,-155.11,THOLEIITE [12150],13.33,374.00,6.70
s_3-247 [22929],SAMOAN ISLANDS / TUTUILA / REJUVENATED STAGE,-14.30,-170.70,BASALT [22929],12.67,374.80,31.17
s_GMD76 [19648],PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND - MANGAREVA / MONT DUFF,-23.13,-135.00,THOLEIITE [19648],14.06,375.00,1.93
s_GMP7 [19648],PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND - MAKAPU,-23.20,-134.93,THOLEIITE [19648],14.29,375.00,6.06
s_RRT-B-30 [2662] / s_RRT B30 [12898],AUSTRAL-COOK ISLANDS / RURUTU / YOUNG ATIU-TREND LAVAS,-22.42,-151.33,BASALT [2662],12.66,375.00,19.00
s_22O [16348],MARQUESAS / HIVA OA / TEMETIU / SHIELD STAGE,-9.87,-139.14,"THOLEIITE, OLIVINE [16348]",13.05,375.00,50.00
s_U28 L [6967],SAMOAN ISLANDS / UPOLU / LEFAGA SERIES,-13.97,-171.94,BASALT [6967],11.58,375.00,50.20
s_NA80 [726],CAPE VERDE ISLANDS / SAO ANTAO,17.00,-25.00,NEPHELINITE [726],13.33,375.00,60.00
s_17-1 [1182],MARQUESAS / FATU HIVA,-10.53,-138.81,"BASALT, ALKALINE, OLIVINE [1182]",12.31,376.00,29.00
